"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BUYYEAR","Year bought accommodation","","int64","Year_bought_accommodation"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"OTHMORT1","Whether any other loan on this property","Yes , No ","object","Whether_any_other_loan_on_this_property"
"OTHMORT2","Whether using this property as security","Yes , No ","object","Whether_using_this_property_as_security"
"OTHMORT3","Whether using this property as security","Yes , No ","object","Whether_using_this_property_as_security"
"OTHPUR1","Reason for 2nd mortgage: improvements","Yes , No ","object","Reason_for_2nd_mortgage_improvements"
"OTHPUR2","Reason 2nd mortgage: purchase of items","Yes , No ","object","Reason_2nd_mortgage_purchase_of_items"
"OTHPUR3","Reason for 2nd mortgage: interest rates","Yes , No ","object","Reason_for_2nd_mortgage_interest_rates"
"OTHPUR4","Reason for 2nd mortgage: business","Yes , No ","object","Reason_for_2nd_mortgage_business"
"OTHPUR5","Reason 2nd mortgage: buy out of share","Yes , No ","object","Reason_2nd_mortgage_buy_out_of_share"
"OTHPUR6","Reason 2nd mortgage: essential repairs","Yes , No ","object","Reason_2nd_mortgage_essential_repairs"
"OTHPUR7","Reason for 2nd mortgage: other","Yes , No ","object","Reason_for_2nd_mortgage_other"
"PURCAMT","Purchase price of house/flat","","int64","Purchase_price_of_houseflat"
"PURCLOAN","Whether one or more loans to purchase","One , Two or more ","object","Whether_one_or_more_loans_to_purchase"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
