"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"STEMPPEN","Pension Type","Employer: Group Personal Pension , Employer: Company or Occupational Pension , Employer: Group Stakeholder Pension , Employer: Pension - Other / Not Known , Self: Personal Pension , Self: Stakeholder Pension ","object","Pension_Type"
"PROVSEQ","Pension key","","int64","Pension_key"
"EPTYPE","Description of employers pension scheme","Contributory , Non-Contributory but do pay a provision , Non-Contributory ","object","Description_of_employers_pension_scheme"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"PENAMT","Amount of last payment to Pension","","float64","Amount_of_last_payment_to_Pension"
"PENAMTDT","Date of last payment to Pension","","object","Date_of_last_payment_to_Pension"
"PENAMTPD","Pcode:amt of last payment to Pension","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_last_payment_to_Pension"
"PENCHK","Whether contribution made to personal pension in last 12 months","Yes , No ","object","Whether_contribution_made_to_personal_pension_in_last_12_month"
"PENCON","Who Contributes to Pension","Personal Pen Contributions : Respondent , Personal Pen Contributions : Employer , Personal Pen Contributions : Respondent + Employer , Neither , Rebate from National Insurance/government ","object","Who_Contributes_to_Pension"
"PENDAT","How long ago joined pension scheme","Less then 6 months , 6 months, but less than a year , 1 year but less then 2 years , 2 years but less than 5 years , 5 years but less then 10 years , 10 years but less then 20 years , 20 years or more ","object","How_long_ago_joined_pension_scheme"
"PENHELP","Whether emp. arranged  pension","Yes , No ","object","Whether_emp_arranged_pension"
"PENREB","Contracted out of SP2","Yes , No ","object","Contracted_out_of_SP2"
"REBGOV","Money paid into pension as rebate part of NI contributions","Yes , No ","object","Money_paid_into_pension_as_rebate_part_of_NI_contributions"
"SPWHO","Who is stakeholder pension for","Myself , Someone else ","object","Who_is_stakeholder_pension_for"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
