"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"ASSETYPE","Asset Type","Current account , NSB Ordinary account , NSB Investment account , Not Used , Savings, investments etc , Government Gilt Edged Stock , Unit/Investment Trusts , Stocks,Shares, Bonds etc , PEP , National Savings capital bonds , Index Linked National Savings Certificates , Fixed Interest National Savings Certificates , Pensioners Guaranteed Bonds , SAYE , Premium bonds , National Savings income bonds , National Savings deposit bonds , First Option bonds , Yearly Plan , ISA , Fixd Rate Svngs Bonds/Grntd Incm Bonds/Grntd Growth Bonds , GEB , Basic Account , Credit Unions , Endowment Policy Not Linked ","object","Asset_Type"
"SEQ","Seq","","int64","Seq"
"ACCNAME","Account type","Sole account , Joint account ","object","Account_type"
"AMOUNT","SAYE: Amount regularly paid","","float64","SAYE_Amount_regularly_paid"
"ANYMON","For program/admin use","Yes - money in (one or more) account(s) , No - no money in any current account , No longer have any current account(s) ","object","For_programadmin_use"
"HOWMANY","Number of shares/bonds/units held","","int64","Number_of_sharesbondsunits_held"
"HOWMUCH","Value of asset (respondent's estimate)","","float64","Value_of_asset_respondents_estimate"
"HOWMUCHE","Value of asset (office edit)","","int64","Value_of_asset_office_edit"
"INTRO","For program/admin use","Still has any such accounts , All such accounts now disposed of ","object","For_programadmin_use"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"ISSVAL","Value of NSC","","float64","Value_of_NSC"
"PD","Pcode: SAYE: amount regularly paid","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_SAYE_amount_regularly_paid"
"MONTH_"," Month code (Source)","","int64","_Month_code_Source"
