"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"ACCJBP01","Accommodation with job of Person 1","Yes , No ","object","Accommodation_with_job_of_Person_1"
"ACCJBP02","Accommodation with job of Person 2","Yes , No ","object","Accommodation_with_job_of_Person_2"
"ACCJBP03","Accommodation with job of Person 3","Yes , No ","object","Accommodation_with_job_of_Person_3"
"ACCJBP04","Accommodation with job of Person 4","Yes , No ","object","Accommodation_with_job_of_Person_4"
"ACCJBP05","Accommodation with job of Person 5","Yes , No ","object","Accommodation_with_job_of_Person_5"
"ACCJBP06","Accommodation with job of Person 6","Yes , No ","object","Accommodation_with_job_of_Person_6"
"ACCJBP07","Accommodation with job of Person 7","Yes , No ","int64","Accommodation_with_job_of_Person_7"
"ACCJBP08","Accommodation with job of Person 8","Yes , No ","int64","Accommodation_with_job_of_Person_8"
"ACCJBP09","Accommodation with job of Person 9","Yes , No ","int64","Accommodation_with_job_of_Person_9"
"ACCJBP10","Accommodation with job of Person 10","Yes , No ","int64","Accommodation_with_job_of_Person_10"
"ACCJBP11","Accommodation with job of Person 11","Yes , No ","int64","Accommodation_with_job_of_Person_11"
"ACCJBP12","Accommodation with job of Person 12","Yes , No ","int64","Accommodation_with_job_of_Person_12"
"ACCJBP13","Accommodation with job of Person 13","Yes , No ","int64","Accommodation_with_job_of_Person_13"
"ACCJBP14","Accommodation with job of Person 14","Yes , No ","int64","Accommodation_with_job_of_Person_14"
"ACCJOB","Whether accommodation goes with job","Yes , No ","object","Whether_accommodation_goes_with_job"
"ACCNONHH","Whether anyone contributes to rent","Yes , No ","object","Whether_anyone_contributes_to_rent"
"CTRACT","Type of contract/agreement","Signed written agreement , A written agreement which was not signed , An unwritten agreement ","object","Type_of_contractagreement"
"ELIGAMT","Amount on rent book/card/statement for e","","float64","Amount_on_rent_bookcardstatement_for_e"
"ELIGPD","Pcode: eligible rent","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_eligible_rent"
"FAIRRENT","Whether rent registered","Yes , No ","object","Whether_rent_registered"
"FURNISH","Whether property rented furnished","Furnished , Partially Furnished , Unfurnished ","object","Whether_property_rented_furnished"
"HBENAMT","Housing Benefit amount","","float64","Housing_Benefit_amount"
"HBENCHK","Whether amount of rent before/after stat","Before , After ","object","Whether_amount_of_rent_beforeafter_stat"
"HBENEFIT","Whether qualify for state benefits to he","Yes , No ","object","Whether_qualify_for_state_benefits_to_he"
"HBENPD","Pcode: Housing Benefit amount","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Housing_Benefit_amount"
"HBENWAIT","Awaiting outcome of claim: HB","Yes , No ","int64","Awaiting_outcome_of_claim_HB"
"HBMNTH","Month in which current Housing Benefit c","January , February , March , April , May , June , July , August , September , October , November , December ","object","Month_in_which_current_Housing_Benefit_c"
"HBRECP","Whether HB or Rent paid to recipient or","Directly to recipient , Directly to landlord ","object","Whether_HB_or_Rent_paid_to_recipient_or"
"HBWEEKS","Number of weeks on HB (Banded over 2 yea","","int64","Number_of_weeks_on_HB_Banded_over_2_yea"
"HBYEAR","Year in which current Housing Benefit cl","Year 2006 , Year 2007 , Year 2008 , Year 2009 ","int64","Year_in_which_current_Housing_Benefit_cl"
"HBYEARS","Number of years on HB (Banded)","Up to 2 Years , 2 Years but less than 3 , 3 Years but less than 4 , 4 Years but less than 5 , 5 or more Years ","object","Number_of_years_on_HB_Banded"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"LANDLORD","Landlord","LA/Council/New Town/Scottish Homes/NIHE , Housing Association/Trust , Employer (organisation) of a hh member , Another organisation , Relative/friend of a household member , Employer (individual) of a hh member , Another indiv/private landlord/letting agency ","object","Landlord"
"NIYSTART","Year Householder first became tenant (NI","31 march 2007 or earlier , 1 April 2007 or later ","object","Year_Householder_first_became_tenant_NI"
"OTHTYPE","Whether accommodation let other way","Crown tenancy/licence (includes H.M Forces) , Service occupancy (excludes H.M. Forces) , Business or agricultural tenancy , Assured agricultural occupancy , Asylum seeker let issued by National Asylum Support Service , Holiday let , Other type of let ","object","Whether_accommodation_let_other_way"
"REBATE","Whether all rent paid through state bene","Yes , No ","object","Whether_all_rent_paid_through_state_bene"
"RENT","Amount rent currently paid","","float64","Amount_rent_currently_paid"
"RENTDK","Interviewers' note: missing rent","Yes , No ","object","Interviewers_note_missing_rent"
"RENTDOC","Whether rent document to consult","Benefit Statement , Rent Book / Card , Some other document , None ","object","Whether_rent_document_to_consult"
"RENTFULL","Full rent before state benefits to help","","float64","Full_rent_before_state_benefits_to_help"
"RENTHOL","Whether have any rent free weeks","Yes , No ","object","Whether_have_any_rent_free_weeks"
"RENTPD","Pcode: amount rent currently paid","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_rent_currently_paid"
"RENTPD1","Pcode: full rent before HB/rent rebate/r","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_full_rent_before_HBrent_rebater"
"RENTPD2","Pcode: amount incl in rent for water/sew","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_incl_in_rent_for_watersew"
"RESLL","Whether landlord lives in building","Yes , No ","object","Whether_landlord_lives_in_building"
"RESLL2","Whether landlord lives in same flat","Yes , No ","object","Whether_landlord_lives_in_same_flat"
"SERINC1","Services included in rent: heating","Yes , No , None ","object","Services_included_in_rent_heating"
"SERINC2","Services included in rent: lighting","Yes , No , None ","object","Services_included_in_rent_lighting"
"SERINC3","Services included in rent: hot water","Yes , No , None ","object","Services_included_in_rent_hot_water"
"SERINC4","Services included in rent: cooking fuel","Yes , No , None ","object","Services_included_in_rent_cooking_fuel"
"SERINC5","Services included in rent: TV licence","Yes , No , None ","object","Services_included_in_rent_TV_licence"
"SERINC6","Services included in rent: Electricity","Yes , No , None ","object","Services_included_in_rent_Electricity"
"SERINC7","Services included in rent: Gas","Yes , No , None ","object","Services_included_in_rent_Gas"
"SERINC8","Services included in rent: Liquid or sol","Yes , No , None ","object","Services_included_in_rent_Liquid_or_sol"
"SERINCAM","Estimate for how much pay for services e","","int64","Estimate_for_how_much_pay_for_services_e"
