"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"JOBTYPE","Job Type","First job , Second job , Third job ","object","Job_Type"
"AGREEHRS","Whether agreed with Hours Worked a Week","Yes , No ","object","Whether_agreed_with_Hours_Worked_a_Week"
"BONAMT1","Amount of first bonus","","float64","Amount_of_first_bonus"
"BONAMT2","Amount of second bonus","","float64","Amount_of_second_bonus"
"BONAMT3","Amount of third bonus","","float64","Amount_of_third_bonus"
"BONAMT4","Amount of fourth bonus","","float64","Amount_of_fourth_bonus"
"BONAMT5","Amount of fifth bonus","","float64","Amount_of_fifth_bonus"
"BONAMT6","Amount of sixth bonus","","float64","Amount_of_sixth_bonus"
"BONTAX1","1st bonus: before,after tax","Before tax , After tax ","object","1st_bonus_beforeafter_tax"
"BONTAX2","2nd bonus: before,after tax","Before tax , After tax ","object","2nd_bonus_beforeafter_tax"
"BONTAX3","3rd bonus: before,after tax","Before tax , After tax ","object","3rd_bonus_beforeafter_tax"
"BONTAX4","4th bonus: before,after tax","Before tax , After tax ","object","4th_bonus_beforeafter_tax"
"BONTAX5","5th bonus: before,after tax","Before tax , After tax ","object","5th_bonus_beforeafter_tax"
"BONTAX6","6th bonus: before,after tax","Before tax , After tax ","object","6th_bonus_beforeafter_tax"
"BONTXAM1","1st bonus: how much tax paid on bonus","","float64","1st_bonus_how_much_tax_paid_on_bonus"
"BONTXAM2","2nd bonus: how much tax paid on bonus","","float64","2nd_bonus_how_much_tax_paid_on_bonus"
"BONTXAM3","3rd bonus: how much tax paid on bonus","","float64","3rd_bonus_how_much_tax_paid_on_bonus"
"BONTXAM4","4th bonus: how much tax paid on bonus","","float64","4th_bonus_how_much_tax_paid_on_bonus"
"BONTXAM5","5th bonus: how much tax paid on bonus","","float64","5th_bonus_how_much_tax_paid_on_bonus"
"BONTXAM6","6th bonus: how much tax paid on bonus","","float64","6th_bonus_how_much_tax_paid_on_bonus"
"BONUS","Number of Bonuses for Last 12 Months","","int64","Number_of_Bonuses_for_Last_12_Months"
"BUSACCTS","Whether annual business accounts kept","Yes , No , Not yet but will be ","object","Whether_annual_business_accounts_kept"
"CARAMT","Total contribution to cost of company car","","float64","Total_contribution_to_cost_of_company_car"
"CARCON","Whether made a contribution to cost of company car","Yes , No ","object","Whether_made_a_contribution_to_cost_of_company_car"
"CARVAL","Estimate of list price of company car","Up to £10,000 , £10,001 to £13,000 , £13,001 to £16,000 , £16,001 to £ 19,000 , £19,001 to £22,000 , £22,001 to £25,000 , £25,001 to £30,000 , £30,001 to £40,000 , £40,001 and over , Don‹t know ","object","Estimate_of_list_price_of_company_car"
"CHECKTAX","Was Income Taxdeducted at source","Income tax deducted , Regular NI deducted , Neither deducted ","object","Was_Income_Taxdeducted_at_source"
"CHKINCOM","Is this before or after deductions","Before , After ","object","Is_this_before_or_after_deductions"
"CHVAMT","Amount received for the childcare voucher(s)","","float64","Amount_received_for_the_childcare_vouchers"
"CHVPD","Pcode: childcare voucher","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_childcare_voucher"
"CHVSAC","Childcare voucher received in lieu of salary,wages","Yes , No ","object","Childcare_voucher_received_in_lieu_of_salarywages"
"CHVUAMT","Usual amount received for the childcare voucher","","float64","Usual_amount_received_for_the_childcare_voucher"
"CHVUPD","Pcode: Usual amount for childcare voucher","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Usual_amount_for_childcare_voucher"
"CHVUSU","Whether amount received usual for the childcare voucher","Yes , No , No such thing as usual amount ","object","Whether_amount_received_usual_for_the_childcare_voucher"
"DEDOTH","Total of other deductions","","float64","Total_of_other_deductions"
"DEDUC1","Amount deducted:pensions,superannuation","","float64","Amount_deductedpensionssuperannuation"
"DEDUC2","Amount deducted: AVCs","","float64","Amount_deducted_AVCs"
"DEDUC3","Amount deducted: Union fees","","float64","Amount_deducted_Union_fees"
"DEDUC4","Amount deducted: friendly societies","","float64","Amount_deducted_friendly_societies"
"DEDUC5","Amount deducted: sports,social clubs","","float64","Amount_deducted_sportssocial_clubs"
"DEDUC6","Amount deducted: repayment of loan","","float64","Amount_deducted_repayment_of_loan"
"DEDUC7","Amount deducted: Medical insurance","","float64","Amount_deducted_Medical_insurance"
"DEDUC8","Amount deducted: Charities","","float64","Amount_deducted_Charities"
"DEDUC9","Amount deducted: Student Loan","","float64","Amount_deducted_Student_Loan"
"DIRCTR","Whether a director of a company","Yes , No ","object","Whether_a_director_of_a_company"
"DIRNI","National Insurance deducted at source","Yes , No ","object","National_Insurance_deducted_at_source"
"DVTOTHRU","Usual Weekly Hours inc Paid + Unpaid O,T","","int64","Usual_Weekly_Hours_inc_Paid__Unpaid_OT"
"DVUSHR","Total usual hours","","float64","Total_usual_hours"
"EMPLANY","How many people do you employ at the place where you work?","1-10 , 11-19 , 20-24 , Don't know but under 25 , 25-49 , 50-249 , 250-499 , Don't know but between 50 and 499 , 500 or more ","object","How_many_people_do_you_employ_at_the_place_where_you_work"
"EMPOWN","Whether works on own,with employees","On own/with partner(s), but no employees , With employees ","object","Whether_works_on_ownwith_employees"
"EMPTEN","Exactly how many people you employ at place where you work","","int64","Exactly_how_many_people_you_employ_at_place_where_you_work"
"ETYPE","Describe your employment situation","Employee , Running a business/prof. practice , Partner in a business/practice , Working for myself , A Sub-Contractor (includes CIS5/6) , Doing freelance work , Self employed in some other way ","object","Describe_your_employment_situation"
"EVEROT","Whether any Paid or Unpaid Overtime","Yes , No ","object","Whether_any_Paid_or_Unpaid_Overtime"
"EXPBEN01","Received Company car","Yes , No , None ","object","Received_Company_car"
"EXPBEN02","Received Company van","Yes , No , None ","object","Received_Company_van"
"EXPBEN03","Received Fuel for private use","Yes , No , None ","object","Received_Fuel_for_private_use"
"EXPBEN04","Received Business mileage payments","Yes , No , None ","object","Received_Business_mileage_payments"
"EXPBEN05","Received Travel and business trip expenses","Yes , No , None ","object","Received_Travel_and_business_trip_expenses"
"EXPBEN06","Received Smart pension","Yes , No , None ","object","Received_Smart_pension"
"EXPBEN07","Medical or dental insurance for self or family","Yes , No , None ","object","Medical_or_dental_insurance_for_self_or_family"
"EXPBEN08","Received Childcare vouchers,employer contracted childcare","Yes , No , None ","object","Received_Childcare_vouchersemployer_contracted_childcare"
"EXPBEN09","Received Mobile phone","Yes , No , None ","object","Received_Mobile_phone"
"EXPBEN10","Received Vouchers","Yes , No , None ","object","Received_Vouchers"
"EXPBEN11","Received Subsidised canteen meals","Yes , No , None ","object","Received_Subsidised_canteen_meals"
"EXPBEN12","Received Any other benefits in kind","Yes , No , None ","object","Received_Any_other_benefits_in_kind"
"FTPT","Did you work full or part time","Full time , Part time ","object","Did_you_work_full_or_part_time"
"FUELAMT","Amount received for fuel","","float64","Amount_received_for_fuel"
"FUELBN","Fuel received in lieu of salary,wages","Yes , No ","object","Fuel_received_in_lieu_of_salarywages"
"FUELPD","Pcode: fuel salary sacrifice","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_fuel_salary_sacrifice"
"FUELTYP","Type of fuel company car uses","Petrol , Diesel , Biofuel e.g. E85 fuel , Hybrid (use a combination of petrol and electricity) , Electric , LPG , Other , Don't know ","object","Type_of_fuel_company_car_uses"
"FUELUAMT","Usual amount  received for fuel","","int64","Usual_amount_received_for_fuel"
"FUELUPD","Pcode: Usual amount for fuel","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","int64","Pcode_Usual_amount_for_fuel"
"FUELUSU","Whether usual amount","Yes , No , No such thing as usual ","object","Whether_usual_amount"
"GRWAGE","Gross wage,salary","","float64","Gross_wagesalary"
"GRWAGPD","Pcode: amount of Gross wage,salary","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_Gross_wagesalary"
"HHA1","Amount of 1st refund for HH expenditure","","float64","Amount_of_1st_refund_for_HH_expenditure"
"HHA2","Amount of 2nd refund for HH expenditure","","float64","Amount_of_2nd_refund_for_HH_expenditure"
"HHA3","Amount of 3rd refund for HH expenditure","","int64","Amount_of_3rd_refund_for_HH_expenditure"
"HHC1","Whether any other refund 1","Yes , No ","object","Whether_any_other_refund_1"
"HHC2","Whether any other refund 2","Yes , No ","object","Whether_any_other_refund_2"
"HOHINC","Whether any refunds for HH expenditure","Yes , No ","object","Whether_any_refunds_for_HH_expenditure"
"INCLPAY1","Last pay includes Statutory sick pay","Yes , No , None ","object","Last_pay_includes_Statutory_sick_pay"
"INCLPAY2","Last pay inc Statutory Maternity pay","Yes , No , None ","object","Last_pay_inc_Statutory_Maternity_pay"
"INCLPAY3","Last pay includes Income tax refund","Yes , No , None ","object","Last_pay_includes_Income_tax_refund"
"INCLPAY4","Last pay includes Mileage allowance","Yes , No , None ","object","Last_pay_includes_Mileage_allowance"
"INCLPAY5","Last pay includes Motoring expenses","Yes , No , None ","object","Last_pay_includes_Motoring_expenses"
"INCLPAY6","Last pay includes Statutory Paternity pay","Yes , No , None ","object","Last_pay_includes_Statutory_Paternity_pay"
"INCLPAY7","Last pay includes Statutory Adoption pay","Yes , No , None ","object","Last_pay_includes_Statutory_Adoption_pay"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"JBCHNGE","Whether changed employer or contract with current employer in last 12 months","Yes , No ","object","Whether_changed_employer_or_contract_with_current_employer_in_"
"JOBBUS","Whether job or business","Job , A business , (Neither of these) ","object","Whether_job_or_business"
"LTHAN30","Reason for working less than 30 hrs a week","Undergoing education or training , Personal illness or disability , Want to work more hrs but cannot find job or work for more , Do not want to work more hours , Considers number of hours in job(s) as full-time , Housework, looking after children or other dependant , Other reason ","object","Reason_for_working_less_than_30_hrs_a_week"
"MADEMP","Whether getting made up pay (SSP,IB)","Yes , No ","object","Whether_getting_made_up_pay_SSPIB"
"MATEMP","Whether getting made up pay (SMP)","Yes , No ","object","Whether_getting_made_up_pay_SMP"
"MATSTP","No of weeks before baby due stopped work","","int64","No_of_weeks_before_baby_due_stopped_work"
"MILEAMT","Amount included for mileage,motoring","","float64","Amount_included_for_mileagemotoring"
"MOTAMT","Amount for motoring expenses","","float64","Amount_for_motoring_expenses"
"NATINS","Amount deducted for NI","","float64","Amount_deducted_for_NI"
"NATURE","Nature of job","Childminder , Doctor or Dentist, in a practice , All other jobs ","object","Nature_of_job"
"NIDAMT","How much National Insurance was deducted","","float64","How_much_National_Insurance_was_deducted"
"NIDPD","Pcode : National insurance","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode__National_insurance"
