"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"MORTSEQ","Mortgage Sequence Number","","int64","Mortgage_Sequence_Number"
"BORAMTDK","Interviewers note: reason missing","Yes , No ","object","Interviewers_note_reason_missing"
"BORRAMT","Amount of the original mortgage or loan","","float64","Amount_of_the_original_mortgage_or_loan"
"ENDWPRI1","Payments into a Pension Plan (pension mortgage)","Yes , No , None ","object","Payments_into_a_Pension_Plan_pension_mortgage"
"ENDWPRI2","Payments into an ISA","Yes , No , None ","object","Payments_into_an_ISA"
"ENDWPRI3","Payments into a Unit Trust or Investment Trust scheme","Yes , No , None ","object","Payments_into_a_Unit_Trust_or_Investment_Trust_scheme"
"ENDWPRI4","Payments into any other savings,investment scheme","Yes , No , None ","object","Payments_into_any_other_savingsinvestment_scheme"
"ENDWPRI5","Proceeds from house sale","Yes , No , None ","object","Proceeds_from_house_sale"
"INCMINC1","Whether MPP incl in mortgage,endowment","Mortgage payment , PEP/Endowment combination ","object","Whether_MPP_incl_in_mortgageendowment"
"INCMINC2","Whether MPP incl in mortgage,endowment","Mortgage payment , PEP/Endowment combination ","object","Whether_MPP_incl_in_mortgageendowment"
"INCMINC3","Whether MPP incl in mortgage,endowment","Mortgage payment , PEP/Endowment combination ","int64","Whether_MPP_incl_in_mortgageendowment"
"INCMP1","Whether 1st MPP incl in payments","Yes , No ","object","Whether_1st_MPP_incl_in_payments"
"INCMP2","Whether 2nd MPP incl in payments","Yes , No ","object","Whether_2nd_MPP_incl_in_payments"
"INCMP3","Whether 3rd MPP incl in payments","Yes , No ","object","Whether_3rd_MPP_incl_in_payments"
"INCMPAM1","Amount of last repayment on 1st MPP","","float64","Amount_of_last_repayment_on_1st_MPP"
"INCMPAM2","Amount of last repayment on 2nd MPP","","float64","Amount_of_last_repayment_on_2nd_MPP"
"INCMPAM3","Amount of last repayment on 3rd MPP","","float64","Amount_of_last_repayment_on_3rd_MPP"
"INCMPPD1","Pcode: amount of last repayment on MPP","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_last_repayment_on_MPP"
"INCMPPD2","Pcode: amount of last repayment on MPP","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_last_repayment_on_MPP"
"INCMPPD3","Pcode: amount of last repayment on MPP","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_last_repayment_on_MPP"
"INTPRPAY","Amount of last instalment on the loan","","float64","Amount_of_last_instalment_on_the_loan"
"INTPRPD","Pcode: amt of last instalment on loan","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amt_of_last_instalment_on_loan"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"LOAN2Y","Whether still have mortgage for purchase","Yes , No ","object","Whether_still_have_mortgage_for_purchase"
"LOANYEAR","Year took out Mortgage or Loan","","int64","Year_took_out_Mortgage_or_Loan"
"MENPOL","Whether any endowment policies for loan","Yes , No ","object","Whether_any_endowment_policies_for_loan"
"MORALL","All in one type","Current account mortgage , Offset mortgage ","object","All_in_one_type"
"MORFLC","Mortgage: all in one acccount","Yes , No ","object","Mortgage_all_in_one_acccount"
"MORINPAY","Amount of mortgage interest paid","","float64","Amount_of_mortgage_interest_paid"
"MORINPD","Pcode: amount of mortgage interest paid","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_mortgage_interest_paid"
"MORINUS","Whether mortgage interest usual","Yes , No ","object","Whether_mortgage_interest_usual"
"MORTEND","Term of mortgage","","int64","Term_of_mortgage"
"MORTLEFT","Amount outstanding on mortgage","","float64","Amount_outstanding_on_mortgage"
"MORTPROT","Whether has a mortgage protection policy","Yes , No ","object","Whether_has_a_mortgage_protection_policy"
"MORTTYPE","Type of mortgage,loan","An endowment mortgage , A repayment mortgage , Pension mortgage , Unit Trust or ISA mortgage , Endowment and Repayment Mortgage , Interest Only with linked investments , Interest Only no linked investments , Other ","object","Type_of_mortgageloan"
"MORUPD","Pcode: amount of usual mortgage interest paid","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_of_usual_mortgage_interest_paid"
"MORUS","Amount of usual mortgage interest paid","","float64","Amount_of_usual_mortgage_interest_paid"
"MPCOVER1","Mortgage Prot policy:Sickness,accident","Yes , No , None ","object","Mortgage_Prot_policySicknessaccident"
"MPCOVER2","Mortgage Prot policy:loss of employment","Yes , No , None ","object","Mortgage_Prot_policyloss_of_employment"
"MPCOVER3","Mortgage Prot policy:Death","Yes , No , None ","object","Mortgage_Prot_policyDeath"
"MPOLNO","Number of Mortgage protection Policies","","int64","Number_of_Mortgage_protection_Policies"
"OUTSMORT","Whether non-HH contributes to mortgage","Yes , No ","object","Whether_nonHH_contributes_to_mortgage"
"RMAMT","Total amount of the re-mortgage","","float64","Total_amount_of_the_remortgage"
"RMORT","Whether arranged a remortgage","Yes , No ","object","Whether_arranged_a_remortgage"
"RMORTYR","Year took out most recent re-mortgage","","int64","Year_took_out_most_recent_remortgage"
"RMPUR001","Reason for remortgage: improvements","Yes , No ","object","Reason_for_remortgage_improvements"
"RMPUR002","Reason for remortgage: purchase of items","Yes , No ","object","Reason_for_remortgage_purchase_of_items"
"RMPUR003","Reason for remortgage: interest rates","Yes , No ","object","Reason_for_remortgage_interest_rates"
"RMPUR004","Reason for remortgage: business","Yes , No ","object","Reason_for_remortgage_business"
"RMPUR005","Reason for remortgage: buy out of share","Yes , No ","object","Reason_for_remortgage_buy_out_of_share"
"RMPUR006","Reason for remortgage: essential repairs","Yes , No ","object","Reason_for_remortgage_essential_repairs"
"RMPUR007","Reason for remortgage: more flexible mortgage","Yes , No ","object","Reason_for_remortgage_more_flexible_mortgage"
"RMPUR008","Reason for remortgage: other","Yes , No ","object","Reason_for_remortgage_other"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
