"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"MIPER","Person number of person who has left household","","int64","Person_number_of_person_who_has_left_household"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"MIAGE","Age last birthday","","int64","Age_last_birthday"
"MISEX","Sex","Male , Female ","object","Sex"
"MNTHLEFT","Month person left household","April of Previous Financial Year , May of Previous Financial Year , June of Previous Financial Year , July of Previous Financial Year , August of Previous Financial Year , September of Previous Financial Year , October of Previous Financial Year , November of Previous Financial Year , December of Previous Financial Year , January of Previous Financial Year , February of Previous Financial Year , March of Previous Financial Year , April of Survey Financial Year , May of Survey Financial Year , June of Survey Financial Year , July of Survey Financial Year , August of Survey Financial Year , September of Survey Financial Year , October of Survey Financial Year , November of Survey Financial Year , December of Survey Financial Year , January of Survey Financial Year , February of Survey Financial Year , March of Survey Financial Year ","object","Month_person_left_household"
"MORE1YR","Whether left for more than one year","Yes , No ","object","Whether_left_for_more_than_one_year"
"WHERENOW","Where living now","Somewhere else in Northern Ireland , England , Republic of Ireland , Scotland , Wales , Elsewhere in the world ","object","Where_living_now"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
"MIAGEGR","Individual Adult 5 Year Age Bands - Anon","Age 16 to 19 , Age 20 to 24 , Age 25 to 29 , Age 30 to 34 , Age 35 to 39 , Age 40 to 44 , Age 45 to 49 , Age 50 to 54 , Age 55 to 59 , Age 60 to 64 , Age 65 to 69 , Age 70 to 74 , Age 75 or over ","object","Individual_Adult_5_Year_Age_Bands__Anon"
