"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"FINDHH","Number of households found at address","","int64","Number_of_households_found_at_address"
"HHSEL","Number of households selected for int.","","int64","Number_of_households_selected_for_int"
"HOUT","Final Outcome Codes...","Ill at home during survey period - Interviewer , Unknown if address residential - refusal , Fully cooperating interview by proxy , Dwelling of Foreign service personnel/Diplomat , All residents under 16 years , Other resident household - no-one eligible , HRP BU Away/in hospital all field period , Away/in hospital all field period - Head Office , Away/in hospital all field period - Interviewer , Residential address - refusal to eligibility , Residential address - non contact to eligible , Unknown if address residential - non contact , Scottish pre-selection instructs no interview , Household limit on quota already reached , HRP BU physically or mentally incompetent , Physically or mentally incompetent - Head Office , Physically or mentally incompetent - Interviewer , Fully cooperating interview with household , Other ineligible - please explain , Refusal to advance letter , HRP BU Language difficulties , Language difficulties - Head Office , Language difficulties - Interviewer , Multi - Info refused about no. of households , Office approval only - Lost productive , Refusal to an Interviewer Letter , Refusal by adult member of household at intro , Refusal by proxy before interview , Full interview - respondent requests deletion , Partial - Respondent requests deletion , Other unproductive - give details , No contact with anyone at the address , HRP BU refused to complete interview , Refusal during interview - 12 or more DK/Ref , Multi - contact made but not with selected HH , Broken appointment, no re-contact , Not yet built/ under construction , No contact made with responsible resident , Directed not to sample at address , Demolished /derelict , Fully cooperating - personal & proxy , Partially cooperating due to non contact , Partially cooperating due to refusal , Partially cooperating due to missing info , Issued but not attempted , Vacant /empty housing unit , Partially cooperating due to non contact , Partially cooperating due to refusal , Partially cooperating due to missing info , Not attempted - not issued to interviewer , Non-residential address , Partially cooperating due to non contact , Partially cooperating due to refusal , Partially cooperating due to missing info , Inaccessible , Inaccessible due to foot and mouth crisis , Address occupied, but not as Main  residence , Unable to locate address , Communal establishment/institution , HRP BU Ill at home during survey period , Ill at home during survey period - Head office ","object","Final_Outcome_Codes"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"LNGDF01","Language difficulties: Punjabi (Gurmukhi script)","Yes , No ","object","Language_difficulties_Punjabi_Gurmukhi_script"
"LNGDF02","Language difficulties: Punjabi (Urdu script)","Yes , No ","object","Language_difficulties_Punjabi_Urdu_script"
"LNGDF03","Language difficulties: Gujarati","Yes , No ","object","Language_difficulties_Gujarati"
"LNGDF04","Language difficulties: Bengali","Yes , No ","object","Language_difficulties_Bengali"
"LNGDF05","Language difficulties: Urdu","Yes , No ","object","Language_difficulties_Urdu"
