"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"CHLOOK","Childcare arrangements","Playgroup or pre school , Day nursery or crèche , Nursery school , Infant‹s school (Reception) , Infant‹s school (Nursery) , Primary school (Reception) , Primary school (Nursery) , Out of school club , Holiday scheme , Family/combined centre , Boarding school , Other Formal , grand parents , Non-resident parent/ex-spouse/ex-partner , Child‹s brother or sister , Other relatives , Childminder , Nanny/Au pair , Friends or neighbours , Other non-relatives (includes babysitters) ","object","Childcare_arrangements"
"CHAMT","Costs of childcare","","float64","Costs_of_childcare"
"CHHR","How many hours in last seven days","","int64","How_many_hours_in_last_seven_days"
"CHPD","Pcode: Costs of childcare","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Costs_of_childcare"
"COST","Whether childcare costs anything","Yes , No ","object","Whether_childcare_costs_anything"
"EMPLPROV","Does employer provide this form of childcare","Yes , No , Does not apply - no employer ","object","Does_employer_provide_this_form_of_childcare"
"FRECCTY1","Free hours of early years education used for Playgroup or pre school","Yes , No ","object","Free_hours_of_early_years_education_used_for_Playgroup_or_pre_"
"FRECCTY2","Free hours of early years education used for Day nursery or workplace crèche","Yes , No ","object","Free_hours_of_early_years_education_used_for_Day_nursery_or_wo"
"FRECCTY3","Free hours of early years education used for Nursery School","Yes , No ","object","Free_hours_of_early_years_education_used_for_Nursery_School"
"FRECCTY4","Free hours of early years education used for Childrens Centres,integrated centres","Yes , No ","object","Free_hours_of_early_years_education_used_for_Childrens_Centres"
"FRECCTY5","Free hours of early years education used for Childminder","Yes , No ","object","Free_hours_of_early_years_education_used_for_Childminder"
"FRECCTY6","Free hours of early years education used for Other","Yes , No ","object","Free_hours_of_early_years_education_used_for_Other"
"FREECC","Does childcare include the free early years education offer?","Yes , No , Don't Know ","object","Does_childcare_include_the_free_early_years_education_offer"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"REGISTRD","Whether registered","Registered , Not registered ","object","Whether_registered"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
