"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"INT1HD","Interest received","","float64","Interest_received"
"INT2HD","Interest received","","float64","Interest_received"
"INT3HD","Interest received","","float64","Interest_received"
"INT4HD","Interest received","","int64","Interest_received"
"INT5HD","Interest received","","float64","Interest_received"
"INT6HD","Interest received","","float64","Interest_received"
"INT7HD","Interest received","","float64","Interest_received"
"INT8HD","Interest received","","float64","Interest_received"
"INT9HD","Interest received","","int64","Interest_received"
"INT10HD","Interest received","","int64","Interest_received"
"INT11HD","Interest received","","int64","Interest_received"
"INT12HD","Interest received","","int64","Interest_received"
"INT13HD","Interest received","","int64","Interest_received"
"INT14HD","Interest received","","int64","Interest_received"
"INT15HD","Interest received","","int64","Interest_received"
"INT16HD","Interest received","","int64","Interest_received"
"INT17HD","Interest received","","int64","Interest_received"
"INT18HD","Interest received","","int64","Interest_received"
"INT19HD","Interest received","","int64","Interest_received"
"INT21HD","Interest received","","float64","Interest_received"
"INT22HD","Interest received","","int64","Interest_received"
"INT23HD","Interest received","","int64","Interest_received"
"INT24HD","Interest received","","float64","Interest_received"
"INT25HD","Interest received","","int64","Interest_received"
"INT26HD","Interest received","","int64","Interest_received"
"INT27HD","Interest received","","float64","Interest_received"
"INT28HD","Interest received","","float64","Interest_received"
"INT29HD","Interest received","","int64","Interest_received"
"INT30HD","Interest received","","int64","Interest_received"
"INT1SP","Interest received","","float64","Interest_received"
"INT2SP","Interest received","","float64","Interest_received"
"INT3SP","Interest received","","float64","Interest_received"
"INT4SP","Interest received","","int64","Interest_received"
"INT5SP","Interest received","","float64","Interest_received"
"INT6SP","Interest received","","float64","Interest_received"
"INT7SP","Interest received","","float64","Interest_received"
"INT8SP","Interest received","","float64","Interest_received"
"INT9SP","Interest received","","int64","Interest_received"
"INT10SP","Interest received","","int64","Interest_received"
"INT11SP","Interest received","","int64","Interest_received"
"INT12SP","Interest received","","int64","Interest_received"
"INT13SP","Interest received","","int64","Interest_received"
"INT14SP","Interest received","","int64","Interest_received"
"INT15SP","Interest received","","int64","Interest_received"
"INT16SP","Interest received","","int64","Interest_received"
"INT17SP","Interest received","","int64","Interest_received"
"INT18SP","Interest received","","int64","Interest_received"
"INT19SP","Interest received","","int64","Interest_received"
"INT21SP","Interest received","","float64","Interest_received"
"INT22SP","Interest received","","int64","Interest_received"
"INT23SP","Interest received","","int64","Interest_received"
"INT24SP","Interest received","","float64","Interest_received"
"INT25SP","Interest received","","int64","Interest_received"
"INT26SP","Interest received","","int64","Interest_received"
"INT27SP","Interest received","","float64","Interest_received"
"INT28SP","Interest received","","float64","Interest_received"
"INT29SP","Interest received","","int64","Interest_received"
"INT30SP","Interest received","","int64","Interest_received"
"INTX1HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX2HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX3HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX4HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX5HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX6HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX7HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX8HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX9HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX10HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX11HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX12HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX13HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX14HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX15HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX16HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX17HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX18HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX19HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX21HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX22HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX23HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX24HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX25HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX26HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX27HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX28HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX29HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX30HD","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX1SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX2SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX3SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX4SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX5SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX6SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX7SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX8SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX9SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX10SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX11SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX12SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX13SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX14SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX15SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX16SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX17SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX18SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX19SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX21SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX22SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX23SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX24SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX25SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX26SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX27SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX28SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","object","Whether_sav_interest_before_or_after_tax"
"INTX29SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INTX30SP","Whether sav interest before or after tax","After tax , Before tax - but tax payable , Before tax - signed to get int. without tax ","int64","Whether_sav_interest_before_or_after_tax"
"INVT1HD","Whether inv interest before or after tax","After tax , Before tax ","int64","Whether_inv_interest_before_or_after_tax"
"INVT2HD","Whether inv interest before or after tax","After tax , Before tax ","int64","Whether_inv_interest_before_or_after_tax"
"INVT3HD","Whether inv interest before or after tax","After tax , Before tax ","int64","Whether_inv_interest_before_or_after_tax"
