"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"ABS1NO","Weeks away during this spell of absence","","int64","Weeks_away_during_this_spell_of_absence"
"ABSPAR","Receiving any allowances in absence","Yes , No ","object","Receiving_any_allowances_in_absence"
"ABSPAY","Whether in receipt of full,part pay","Full pay from employer , Part pay or made-up pay (more than or equal to 50% of normal , Part pay or made-up pay (less than 50% of normal pay) , No pay ","object","Whether_in_receipt_of_fullpart_pay"
"ABSWHY","Reason for your absence","Pattern of shifts , Illness/accident , Holiday , Strike , Laid off , Maternity Leave , Paternity leave , Compassionate Leave , Parental Leave , Other ","object","Reason_for_your_absence"
"ABSWK","Away from work for more than last 3 days","Yes , No ","object","Away_from_work_for_more_than_last_3_days"
"ACCESS","Whether receive money from access fund","Yes , No ","object","Whether_receive_money_from_access_fund"
"ACCJB","Whether accommodation goes with job","Yes , No ","object","Whether_accommodation_goes_with_job"
"ACCOUNTQ","Whether accounts question answered","Accounts question answered ","object","Whether_accounts_question_answered"
"ACCSSAMT","Amount : Access Fund","","float64","Amount__Access_Fund"
"ACCSSPD","Pcode: Access fund","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Access_fund"
"ADEDUC","Type of school,college attending","Non-advanced further education , Any private school , University or higher education , Other ","object","Type_of_schoolcollege_attending"
"ADEMA","Whether Adult EMA earnings","Yes , No ","object","Whether_Adult_EMA_earnings"
"ADEMAAMT","Amount of Adult EMA earnings","","float64","Amount_of_Adult_EMA_earnings"
"ADEMAPD","Pcode: Adult EMA earnings","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Adult_EMA_earnings"
"AGE","Age of adult last birthday","","int64","Age_of_adult_last_birthday"
"AGEHQUAL","How old were you when you achieved your highest qualification","","int64","How_old_were_you_when_you_achieved_your_highest_qualification"
"ALIAMT","Amount received in maintenance for self","","float64","Amount_received_in_maintenance_for_self"
"ALIMNY","Whether in receipt of maintenance for self","Yes , No ","object","Whether_in_receipt_of_maintenance_for_self"
"ALIPD","Pcode: amount received in maintenance for self","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_received_in_maintenance_for_self"
"ALIUS","Maintenance for self - whether usual amt","Yes , No , No such thing as usual ","object","Maintenance_for_self__whether_usual_amt"
"ALLOW1","Regular allowance: Friend,Relative","Yes , No , None ","object","Regular_allowance_FriendRelative"
"ALLOW2","Regular allowance: organisation","Yes , No , None ","object","Regular_allowance_organisation"
"ALLOW3","Regular allowance: LA,SS (foster child)","Yes , No , None ","object","Regular_allowance_LASS_foster_child"
"ALLOW4","Regular allowance: LA,SS (adoption)","Yes , No , None ","object","Regular_allowance_LASS_adoption"
"ALLPAY1","Amount of allowance: Friend,Relative","","float64","Amount_of_allowance_FriendRelative"
"ALLPAY2","Amount of allowance: organisation","","float64","Amount_of_allowance_organisation"
"ALLPAY3","Amount of allowance:LA,SS (foster child)","","float64","Amount_of_allowanceLASS_foster_child"
"ALLPAY4","Amount of allowance:LA,SS (adoption)","","float64","Amount_of_allowanceLASS_adoption"
"ALLPD1","Pcode: allowance from an Friend,Relative","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_allowance_from_an_FriendRelative"
"ALLPD2","Pcode: allowance from an organisation","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_allowance_from_an_organisation"
"ALLPD3","Pcode:allowance from LA,SS(foster child)","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeallowance_from_LASSfoster_child"
"ALLPD4","Pcode: allowance from LA,SS(adoption)","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_allowance_from_LASSadoption"
"ALUAMT","Usual amount received in maintenance for self","","int64","Usual_amount_received_in_maintenance_for_self"
"ALUPD","Pcode: usual amount received in maintenance for self","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","int64","Pcode_usual_amount_received_in_maintenance_for_self"
"ANXIOUS","How anxious did you feel yesterday?","Not at all anxious , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , Completely anxious ","object","How_anxious_did_you_feel_yesterday"
"ANYACC","Whether any accounts","Yes , No , Don't Know , Refuse ","object","Whether_any_accounts"
"ANYED","In receipt of any FT or PT education","Yes , No ","object","In_receipt_of_any_FT_or_PT_education"
"ANYMON","Any money left in current account","Yes - money in (one or more) account(s) , No - no money in any current account , No longer have any current account(s) ","object","Any_money_left_in_current_account"
"ANYPEN1","Rcpt of pension from previous employer","Yes , No , None ","object","Rcpt_of_pension_from_previous_employer"
"ANYPEN2","Receipt of Widows Employee Pension","Yes , No , None ","object","Receipt_of_Widows_Employee_Pension"
"ANYPEN3","Receipt of a personal pension","Yes , No , None ","object","Receipt_of_a_personal_pension"
"ANYPEN4","Receipt of TU or Friendly Soc. pension","Yes , No , None ","object","Receipt_of_TU_or_Friendly_Soc_pension"
"ANYPEN5","Receipt of a non-pension fund based annuity","Yes , No , None ","object","Receipt_of_a_nonpension_fund_based_annuity"
"ANYPEN6","Receipt of a trust or covenant","Yes , No , None ","object","Receipt_of_a_trust_or_covenant"
"ANYPEN7","Receipt of share of pension on divorce","Yes , No , None ","object","Receipt_of_share_of_pension_on_divorce"
"APAMT","Amount received from absent partner","","float64","Amount_received_from_absent_partner"
"APDAMT","Amount from absent partner paid directly","","float64","Amount_from_absent_partner_paid_directly"
"APDIR","Whether abs partner pays HH exps. direct","Yes , No ","object","Whether_abs_partner_pays_HH_exps_direct"
"APDPD","Pcode: direct payments of HH expenses","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_direct_payments_of_HH_expenses"
"APPD","Pcode: amount received from abs partner","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_amount_received_from_abs_partner"
"BFD","Have you received any support from the 16-19 Bursary Fund","Yes , No ","object","Have_you_received_any_support_from_the_1619_Bursary_Fund"
"BFDAMT","How much Bursary Fund did you receive last time","","float64","How_much_Bursary_Fund_did_you_receive_last_time"
"BFDPD","Period code of bursary fund","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Period_code_of_bursary_fund"
"BFDVAL","Was the support in the form of","Money , or some other kind of support ","object","Was_the_support_in_the_form_of"
"BTECNOW","Level of BTEC studying for","Higher level , National Certificate , First diploma , First certificate ","object","Level_of_BTEC_studying_for"
"C2ORIGN","Country of origin codes","Other , India , Poland , Pakistan , Republic of Ireland , England , Northern Ireland , Scotland , Wales , Uk, Britian ","int64","Country_of_origin_codes"
"CAMEMT","Month last arrived in this country","January , February , March , April , May , June , July , August , September , October , November , December ","object","Month_last_arrived_in_this_country"
"CAMEYR","Year first arrived in this country","","int64","Year_first_arrived_in_this_country"
"CAMEYR2","Year last arrived in this country","","int64","Year_last_arrived_in_this_country"
"CANDGNOW","Level of City and Guilds qualification studying for","Advanced Craft / Part 3 , Craft / Part 2 , Foundation / Part 1 ","object","Level_of_City_and_Guilds_qualification_studying_for"
"CBAAMT2","Estimated value of current accounts,investments","Nothing , Jan-50 , 51-100 , 101-250 , 251-500 , 501-1000 , 1001-2000 , 2001-3000 , 3001-5000 , 5001-10,000 , 10,001-20,000 , 20,0001-30,000 , 30,001 or over , Overdrawn ","object","Estimated_value_of_current_accountsinvestments"
"CBCHK","Can I just Check, you didnt report receipt of Child Benefit","Chosen to stop receiving Child Ben payments due to having high income? , You have not applied for Child Benefit? , Other , My Partner receives this benefit ","object","Can_I_just_Check_you_didnt_report_receipt_of_Child_Benefit"
"CHANGE","Have you personally moved accommodation in the past 5 years","Yes , No ","object","Have_you_personally_moved_accommodation_in_the_past_5_years"
"CHKCTC","How certain whether no tax credit receipt","Certain does not receive Child Tax Credit , Not certain:did not know which Tax Credits receive ","object","How_certain_whether_no_tax_credit_receipt"
"CHKDPCO1","Whether receive and contribute to 1st personal pension","Receiving money from pension only , Receive money from and contribute to pension ","object","Whether_receive_and_contribute_to_1st_personal_pension"
"CHKDPCO2","Whether receive and contribute to 2nd personal pension","Receiving money from pension only , Receive money from and contribute to pension ","object","Whether_receive_and_contribute_to_2nd_personal_pension"
"CHKDPCO3","Whether receive and contribute to 3rd personal pension","Receiving money from pension only , Receive money from and contribute to pension ","int64","Whether_receive_and_contribute_to_3rd_personal_pension"
"CHKDPN","Whether group personal or group stakeholder pension","Yes , No , Don't Know ","object","Whether_group_personal_or_group_stakeholder_pension"
"CHKDSCO1","Whether receive and contribute to 1st stakeholder pension","Receiving money from pension only , Receive money from and contribute to pension ","object","Whether_receive_and_contribute_to_1st_stakeholder_pension"
"CHKDSCO2","Whether receive and contribute to 2nd stakeholder pension","Receiving money from pension only , Receive money from and contribute to pension ","int64","Whether_receive_and_contribute_to_2nd_stakeholder_pension"
"CHKDSCO3","Whether receive and contribute to 3rd stakeholder pension","Receiving money from pension only , Receive money from and contribute to pension ","int64","Whether_receive_and_contribute_to_3rd_stakeholder_pension"
"CHKNOP","Interviewer confirmed: no pension","No pension , Does have a pension , Frozen pension(s) only ","object","Interviewer_confirmed_no_pension"
