"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"AGE","Age of child last birthday","","int64","Age_of_child_last_birthday"
"BTECNOW","Level of BTEC studying for","Higher level , National Certificate , First diploma , First certificate ","object","Level_of_BTEC_studying_for"
"C2ORIGN","Country of orign codes","Other , India , Poland , Pakistan , Republic of Ireland , England , Northern Ireland , Scotland , Wales , Uk, Britian ","int64","Country_of_orign_codes"
"CAMEYR","Year first arrived in this country","","int64","Year_first_arrived_in_this_country"
"CANDGNOW","Level of City and Guilds qualification studying for","Advanced Craft / Part 3 , Craft / Part 2 , Foundation / Part 1 ","int64","Level_of_City_and_Guilds_qualification_studying_for"
"CARE","Whether childcare arrangements made","Yes , No ","object","Whether_childcare_arrangements_made"
"CDAPROG1","Progressive health condition","Yes, activities reduced a lot , Yes, activities reduced a little , Not at all ","object","Progressive_health_condition"
"CDATRE1","Difficulties - Without medication","Yes, activities reduced a lot , Yes, activities reduced a little , Not at all ","object","Difficulties__Without_medication"
"CDATREP1","Illness,disability limited activities","Yes, activities reduced a lot , Yes, activities reduced a little , Not at all , Don't know ","object","Illnessdisability_limited_activities"
"CDISD01","Difficulty with vision","Yes , No , None ","object","Difficulty_with_vision"
"CDISD02","Difficulty with hearing","Yes , No , None ","object","Difficulty_with_hearing"
"CDISD03","Difficulty with mobility","Yes , No , None ","object","Difficulty_with_mobility"
"CDISD04","Difficulty with dexterity","Yes , No , None ","object","Difficulty_with_dexterity"
"CDISD05","Difficulty with learning","Yes , No , None ","object","Difficulty_with_learning"
"CDISD06","Difficulty with memory","Yes , No , None ","object","Difficulty_with_memory"
"CDISD07","Difficulty with mental health","Yes , No , None ","object","Difficulty_with_mental_health"
"CDISD08","Difficulty with stamina or breathing or fatigue","Yes , No , None ","object","Difficulty_with_stamina_or_breathing_or_fatigue"
"CDISD09","Difficulty with socially or behaviourally","Yes , No , None ","object","Difficulty_with_socially_or_behaviourally"
"CDISD10","Difficulty in other area of life","Yes , No , None ","object","Difficulty_in_other_area_of_life"
"CDISDIFP","Ever had any long standing illness,disability","Yes , No ","object","Ever_had_any_long_standing_illnessdisability"
"CHAMTERN","Earnings received from spare time job","","float64","Earnings_received_from_spare_time_job"
"CHAMTTST","Income received from a Trust","","float64","Income_received_from_a_Trust"
"CHBFD","Have you received any support from the 16-19 Bursary Fund","Yes , No ","object","Have_you_received_any_support_from_the_1619_Bursary_Fund"
"CHBFDAMT","How much Bursary Fund did you receive last time","","float64","How_much_Bursary_Fund_did_you_receive_last_time"
"CHBFDPD","Period code of bursary fund","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Period_code_of_bursary_fund"
"CHBFDVAL","Was the support in the form of","Money , or some other kind of support ","object","Was_the_support_in_the_form_of"
"CHCA","Does helper receive Carers Allowance in his,her own right?","Yes , No ","int64","Does_helper_receive_Carers_Allowance_in_hisher_own_right"
"CHCOND","Whether condition limits day to day activities","Yes, activities reduced a lot , Yes, activities reduced a little , Not at all ","object","Whether_condition_limits_day_to_day_activities"
"CHDLA1","Whether receives CARE COMPONENT of DLA","Yes , No , None ","object","Whether_receives_CARE_COMPONENT_of_DLA"
"CHDLA2","Whether receives MOBILITY COMPONENT DLA","Yes , No , None ","object","Whether_receives_MOBILITY_COMPONENT_DLA"
"CHEALTH1","Any long standing illness,disability","Yes , No ","object","Any_long_standing_illnessdisability"
"CHEARNS1","Child Earnings: Spare time job","Yes , No , None ","object","Child_Earnings_Spare_time_job"
"CHEARNS2","Child Earnings: Employment training","Yes , No , None ","object","Child_Earnings_Employment_training"
"CHEARNS3","Child Earnings: Trust","Yes , No , None ","object","Child_Earnings_Trust"
"CHEMA","Whether Child EMA Earnings","Yes , No ","object","Whether_Child_EMA_Earnings"
"CHEMAAMT","Amount of Child EMA Earnings","","float64","Amount_of_Child_EMA_Earnings"
"CHEMAPD","Pcode: Child EMA Earnings","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Child_EMA_Earnings"
"CHLIMITL","How long ability to carry out daily acti has been reduced","Less than six months , Between six months and 12 months , 12 months or more ","object","How_long_ability_to_carry_out_daily_acti_has_been_reduced"
"CHPDERN","Pcode: earnings received from job","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_earnings_received_from_job"
"CHPDTST","Pcode: income received from a Trust","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_income_received_from_a_Trust"
"CHSAVE","Any savings, bonds, stocks, shares etc","Yes , No ","object","Any_savings_bonds_stocks_shares_etc"
"CHTRNAMT","Amount from employment training 16-19 year olds only","","float64","Amount_from_employment_training_1619_year_olds_only"
"CHTRNPD","Pcode: Employment Training  Earnings 16-19 year olds only","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcode_Employment_Training_Earnings_1619_year_olds_only"
