"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"PENSEQ","Penseq","PENSION FROM A PREVIOUS EMPLOYER , PENSION FROM A PREVIOUS EMPLOYER , PENSION FROM A PREVIOUS EMPLOYER , PENSION FROM A PREVIOUS EMPLOYER , WIDOW''S EMPLOYEE PENSION , WIDOW''S EMPLOYEE PENSION , WIDOW''S EMPLOYEE PENSION , PERSONAL PENSION , PERSONAL PENSION , PERSONAL PENSION , PENSION FROM TRADE UNION OR FRIENDLY SOCIETY , PENSION FROM TRADE UNION OR FRIENDLY SOCIETY , ANNUITY , ANNUITY , ANNUITY , TRUST OR COVENAN , TRUST OR COVENAN , SHARE OF PENSION FROM EX-SPOUSE/PARTNER , SHARE OF PENSION FROM EX-SPOUSE/PARTNER ","object","Penseq"
"ANOTHER","Whether any more pensions of this type","Yes , No ","object","Whether_any_more_pensions_of_this_type"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"PENOTH","Whether any other deductions from PENPAY","Yes , No ","object","Whether_any_other_deductions_from_PENPAY"
"PENPAY","Amount of last payment from pension","","float64","Amount_of_last_payment_from_pension"
"PENPD","Pcode:amt of last payment from pension","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_last_payment_from_pension"
"PENPD1","Pcode:amt of tax deducted at source","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_tax_deducted_at_source"
"PENPD2","Pcode:amt of other deduction from PENPAY","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_other_deduction_from_PENPAY"
"PENTAX","Whether tax deducted at source on PENPAY","Yes , No ","object","Whether_tax_deducted_at_source_on_PENPAY"
"PENTYPE","Pension Type","Employee Pension , Widow's Pension , Personal Pension , Trade Union Pension , Annuity , Trust , Share of emp/personal pension on divorce ","object","Pension_Type"
"POAMT","Amount of other deduction from PENPAY","","float64","Amount_of_other_deduction_from_PENPAY"
"POINC","Whether PENPAY before/after deduction","Before , After ","object","Whether_PENPAY_beforeafter_deduction"
"PTAMT","Amount of tax deducted at source","","float64","Amount_of_tax_deducted_at_source"
"PTINC","Whether PENPAY before/after tax","Before , After ","object","Whether_PENPAY_beforeafter_tax"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
