"Variable","Variable Label","Possible Values","Column Type","Column Name"
"SERNUM","Sernum","","int64","Sernum"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"MAINTSEQ","Maintseq","","int64","Maintseq"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"M","Maintenance payments: anyone else","Yes , No ","object","Maintenance_payments_anyone_else"
"MRAGE","Maintenance payment: youngest childs age","","int64","Maintenance_payment_youngest_childs_age"
"MRAMT","Amount of last maintenance payment","","float64","Amount_of_last_maintenance_payment"
"MRARR1","Maint arrangements: CSA, CMS arrangement","Yes , No , None ","object","Maint_arrangements_CSA_CMS_arrangement"
"MRARR2","Maint arrangements: Crt order req resp to make payments","Yes , No , None ","object","Maint_arrangements_Crt_order_req_resp_to_make_payments"
"MRARR3","Maint arrangements: A voluntary FINANCIAL agreement","Yes , No , None ","object","Maint_arrangements_A_voluntary_FINANCIAL_agreement"
"MRARR4","Maint arrangements: A voluntary NON-FINANCIAL agreement","Yes , No , None ","object","Maint_arrangements_A_voluntary_NONFINANCIAL_agreement"
"MRARR5","Maint arrangements: Other","Yes , No , None ","object","Maint_arrangements_Other"
"MRKID","Maintenance payment: children covered","","int64","Maintenance_payment_children_covered"
"MRPD","Pcode:amount of last maintenance payment","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamount_of_last_maintenance_payment"
"MRUAMT","Amount of usual maintenance payment","","float64","Amount_of_usual_maintenance_payment"
"MRUPD","Pcode:amt of usual maintenance payment","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , Two Calendar months , Eight times a year , Nine times a year , Ten times a year , Three months (13 weeks) , One Year/12  Months/52 Weeks , Other , Six months/26 Weeks , Less than 1 week , One off/lump sum ","object","Pcodeamt_of_usual_maintenance_payment"
"MRUS","Whether last maintenance payment usual","Yes , No , No such thing as usual ","object","Whether_last_maintenance_payment_usual"
"MONTH_","Month code (Source)","","int64","Month_code_Source"
