"Variable","Variable Label","Possible Values","Column Type","Column Name"
"sernum","Sernum ","","int64","Sernum_"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"GVTREGNO","Region in UK (Original codes)","","int64","Region_in_UK_Original_codes"
"ADBTBL","Keep up with bills and regular debt repayments","Yes , No ","object","Keep_up_with_bills_and_regular_debt_repayments"
"ADDDEC","enough money to keep your home in a decent state of d?cor","Adult(s) have this , Adult(s) would like to have this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","enough_money_to_keep_your_home_in_a_decent_state_of_dcor"
"ADDHOL","hols. away from home one week a year+ not staying with rels.","Adult(s) have this , Adult(s) would like to have this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","hols_away_from_home_one_week_a_year_not_staying_with_rels"
"ADDINS","household contents insurance","Adult(s) have this , Adult(s) would like to have this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","household_contents_insurance"
"ADDMON","make savings of ?10 a month or more","Adult(s) do this , Adult(s) would like to do this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","make_savings_of_10_a_month_or_more"
"ADEPFUR","replace any worn out furniture","Adult(s) do this , Adult(s) would like to do this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","replace_any_worn_out_furniture"
"AF1","replace or repair broken electrical goods","Adult(s) do this , Adult(s) would like to do this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","replace_or_repair_broken_electrical_goods"
"AFDEP2","money to spend each week on yourself, not on your family","Adult(s) do this , Adult(s) would like to do this but cannot afford , Adult(s) do not want / need this , Does not apply ","object","money_to_spend_each_week_on_yourself_not_on_your_family"
"BILLNT1","Why not pay bills: no money for this","Yes , No , Not applicable ","object","Why_not_pay_bills_no_money_for_this"
"BILLNT2","Why not pay bills: not priority on current income","Yes , No , Not applicable ","object","Why_not_pay_bills_not_priority_on_current_income"
"BILLNT3","Why not pay bills: health / disability prevents me","Yes , No , Not applicable ","object","Why_not_pay_bills_health__disability_prevents_me"
"BILLNT4","Why not pay bills: too much trouble / too tiring","Yes , No , Not applicable ","object","Why_not_pay_bills_too_much_trouble__too_tiring"
"BILLNT5","Why not pay bills: no one to do this with or help me","Yes , No , Not applicable ","object","Why_not_pay_bills_no_one_to_do_this_with_or_help_me"
"BILLNT6","Why not pay bills: not something I want","Yes , No , Not applicable ","object","Why_not_pay_bills_not_something_I_want"
"BILLNT7","Why not pay bills: not relevant to me","Yes , No , Not applicable ","object","Why_not_pay_bills_not_relevant_to_me"
"BILLNT8","Why not pay bills: other reason","Yes , No , Not applicable ","object","Why_not_pay_bills_other_reason"
"BILLNT9","Do not know","Yes , No , Not applicable ","object","Do_not_know"
"CDELPLY","outdoor space/facilities nearby where kids play in safety","Yes , No ","object","outdoor_spacefacilities_nearby_where_kids_play_in_safety"
"CDEPACT","Attends regular organised activity outside school each week","Child(ren) do this , Child(ren) would like to do this but we cannot afford , Child(ren) do not want /need this , Does not apply ","object","Attends_regular_organised_activity_outside_school_each_week"
"CDEPBED","enough bedrooms for every child over 10","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","enough_bedrooms_for_every_child_over_10"
"CDEPCEL","celebrations on special occasions","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","celebrations_on_special_occasions"
"CDEPEQP","leisure equipment such as sports equipment or a bicycle","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","leisure_equipment_such_as_sports_equipment_or_a_bicycle"
"CDEPHOL","a holiday away from home at least 1 week a year with family","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","a_holiday_away_from_home_at_least_1_week_a_year_with_family"
"CDEPLES","a hobby or leisure activity","Child(ren) do this , Child(ren) would like to do this but we cannot afford , Child(ren) do not want /need this , Does not apply ","object","a_hobby_or_leisure_activity"
"CDEPTEA","have friends round for tea or a snack once a fortnight","Child(ren) do this , Child(ren) would like to do this but we cannot afford , Child(ren) do not want /need this , Does not apply ","object","have_friends_round_for_tea_or_a_snack_once_a_fortnight"
"CDEPTRP","go on a school trip at least once a term","Child(ren) do this , Child(ren) would like to do this but we cannot afford , Child(ren) do not want /need this , Does not apply ","object","go_on_a_school_trip_at_least_once_a_term"
"CDEPVEG","Eat fresh fruit or veg every day","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","Eat_fresh_fruit_or_veg_every_day"
"CDPCOAT","Have a warm winter coat","Child(ren) have this , Child(ren) would like to have this but we cannot afford , Child(ren) do not want / need this , Does not apply ","object","Have_a_warm_winter_coat"
"COATNT1","Why no waterproof coat: no money for this","YES , NO ","object","Why_no_waterproof_coat_no_money_for_this"
"COATNT2","Why no waterproof coat: not priority on current income","YES , NO ","object","Why_no_waterproof_coat_not_priority_on_current_income"
"COATNT3","Why no waterproof coat: health / disability prevents me","YES , NO ","object","Why_no_waterproof_coat_health__disability_prevents_me"
"COATNT4","Why no waterproof coat: too much trouble / too tiring","YES , NO ","object","Why_no_waterproof_coat_too_much_trouble__too_tiring"
"COATNT5","Why no waterproof coat: no one to do this with or help me","YES , NO ","object","Why_no_waterproof_coat_no_one_to_do_this_with_or_help_me"
"COATNT6","Why no waterproof coat: not something I want","YES , NO ","object","Why_no_waterproof_coat_not_something_I_want"
"COATNT7","Why no waterproof coat: not relevant to me","YES , NO ","object","Why_no_waterproof_coat_not_relevant_to_me"
"COATNT8","Why no waterproof coat: other reason","YES , NO ","object","Why_no_waterproof_coat_other_reason"
"COATNT9","Do not know","YES , NO ","object","Do_not_know"
"COOKNT1","Why not replace cooker: no money for this","Yes , No , Not applicable ","object","Why_not_replace_cooker_no_money_for_this"
"COOKNT2","Why not replace cooker: not priority on current income","Yes , No , Not applicable ","object","Why_not_replace_cooker_not_priority_on_current_income"
"COOKNT3","Why not replace cooker: health / disability prevents me","Yes , No , Not applicable ","object","Why_not_replace_cooker_health__disability_prevents_me"
"COOKNT4","Why not replace cooker: too much trouble / too tiring","Yes , No , Not applicable ","object","Why_not_replace_cooker_too_much_trouble__too_tiring"
"COOKNT5","Why not replace cooker: no one to do this with or help me","Yes , No , Not applicable ","object","Why_not_replace_cooker_no_one_to_do_this_with_or_help_me"
"COOKNT6","Why not replace cooker: not something I want","Yes , No , Not applicable ","object","Why_not_replace_cooker_not_something_I_want"
"COOKNT7","Why not replace cooker: not relevant to me","Yes , No , Not applicable ","object","Why_not_replace_cooker_not_relevant_to_me"
"COOKNT8","Why not replace cooker: other reason","Yes , No , Not applicable ","object","Why_not_replace_cooker_other_reason"
"COOKNT9","Do not know","Yes , No , Not applicable ","object","Do_not_know"
"CPLAY","Go to a playgroup at least once a week","Child(ren) do this , Child(ren) would like to do this but we cannot afford , Child(ren) do not want /need this , Does not apply ","object","Go_to_a_playgroup_at_least_once_a_week"
"DAMPNT1","Why no damp free home: no money for this","Yes , No , Not applicable ","object","Why_no_damp_free_home_no_money_for_this"
"DAMPNT2","Why no damp free home: not priority on current income","Yes , No , Not applicable ","object","Why_no_damp_free_home_not_priority_on_current_income"
"DAMPNT3","Why no damp free home: health / disability prevents me","Yes , No , Not applicable ","object","Why_no_damp_free_home_health__disability_prevents_me"
"DAMPNT4","Why no damp free home: too much trouble / too tiring","Yes , No , Not applicable ","object","Why_no_damp_free_home_too_much_trouble__too_tiring"
"DAMPNT5","Why no damp free home: no one to do this with or help me","Yes , No , Not applicable ","object","Why_no_damp_free_home_no_one_to_do_this_with_or_help_me"
"DAMPNT6","Why no damp free home: not something I want","Yes , No , Not applicable ","object","Why_no_damp_free_home_not_something_I_want"
"DAMPNT7","Why no damp free home: not relevant to me","Yes , No , Not applicable ","object","Why_no_damp_free_home_not_relevant_to_me"
"DAMPNT8","Why no damp free home: other reason","Yes , No , Not applicable ","object","Why_no_damp_free_home_other_reason"
"DAMPNT9","Do not know","Yes , No , Not applicable ","object","Do_not_know"
"DEBT01","Behind with the electricity bill","Yes , No , None ","object","Behind_with_the_electricity_bill"
"DEBT02","Behind with the gas bill","Yes , No , None ","object","Behind_with_the_gas_bill"
"DEBT03","Behind with other fuel bills like coal or oil","Yes , No , None ","object","Behind_with_other_fuel_bills_like_coal_or_oil"
"DEBT04","Behind with Council Tax","Yes , No , None ","object","Behind_with_Council_Tax"
"DEBT05","Behind with insurance policies","Yes , No , None ","object","Behind_with_insurance_policies"
"DEBT06","Behind with telephone bill","Yes , No , None ","object","Behind_with_telephone_bill"
"DEBT07","Behind with television/DVD player rental or HP","Yes , No , None ","object","Behind_with_televisionDVD_player_rental_or_HP"
"DEBT08","Behind with other HP payments","Yes , No , None ","object","Behind_with_other_HP_payments"
"DEBT09","Behind with water rates/rates(NI)","Yes , No , None ","object","Behind_with_water_ratesratesNI"
"DEBT10","Behind with rent","Yes , No , None ","object","Behind_with_rent"
"DEBT11","Behind with mortgage payments","Yes , No , None ","object","Behind_with_mortgage_payments"
"DEBT12","Behind with credit card repayments","Yes , No , None ","object","Behind_with_credit_card_repayments"
"DEBT13","Behind with other loan repayments","Yes , No , None ","object","Behind_with_other_loan_repayments"
"DEBTAR01","Been behind with the electricity bill in last 12 months","Yes , No , None ","object","Been_behind_with_the_electricity_bill_in_last_12_months"
"DEBTAR02","Been behind with the gas bill in last 12 months","Yes , No , None ","object","Been_behind_with_the_gas_bill_in_last_12_months"
"DEBTAR03","Been behind with other fuel bills in last 12 months","Yes , No , None ","object","Been_behind_with_other_fuel_bills_in_last_12_months"
"DEBTAR04","Been behind with Council Tax in last 12 months","Yes , No , None ","object","Been_behind_with_Council_Tax_in_last_12_months"
"DEBTAR05","Been behind with insurance policies in last 12 months","Yes , No , None ","object","Been_behind_with_insurance_policies_in_last_12_months"
"DEBTAR06","Been behind with telephone bill in last 12 months","Yes , No , None ","object","Been_behind_with_telephone_bill_in_last_12_months"
"DEBTAR07","Been behind with tele/DVD player rental or HP in last 12 mon","Yes , No , None ","object","Been_behind_with_teleDVD_player_rental_or_HP_in_last_12_mon"
"DEBTAR08","Been behind with other HP payments in last 12 months","Yes , No , None ","object","Been_behind_with_other_HP_payments_in_last_12_months"
"DEBTAR09","Been behind with water rates/rates(NI) in last 12 months","Yes , No , None ","object","Been_behind_with_water_ratesratesNI_in_last_12_months"
"DEBTAR10","Been behind with rent in last 12 months","Yes , No , None ","object","Been_behind_with_rent_in_last_12_months"
"DEBTAR11","Been behind with mortgage payments in last 12 months","Yes , No , None ","object","Been_behind_with_mortgage_payments_in_last_12_months"
"DEBTAR12","Been behind with credit card repayments in last 12 months","Yes , No , None ","object","Been_behind_with_credit_card_repayments_in_last_12_months"
"DEBTAR13","Been behind with other loan repayments in last 12 months","Yes , No , None ","object","Been_behind_with_other_loan_repayments_in_last_12_months"
"DEBTFRE1","How many times behind with mortgage/rent in last yr","One , Two or more ","object","How_many_times_behind_with_mortgagerent_in_last_yr"
"DEBTFRE2","How many times behind with elec/gas/water/fuel in last yr","One , Two or more ","object","How_many_times_behind_with_elecgaswaterfuel_in_last_yr"
"DEBTFRE3","How many times behind with other loan repayments in last yr","One , Two or more ","object","How_many_times_behind_with_other_loan_repayments_in_last_yr"
"EXPUSUAL","Benefit Unit total expenditure in last month higher/lower/us","Higher than usual , Lower than usual , Typical of a usual month's expenditure , SPONTANEOUS: no such thing as a typical month ","object","Benefit_Unit_total_expenditure_in_last_month_higherlowerus"
"FRNDNT1","Why not see friends/family: no money for this","Yes , No , Not applicable ","object","Why_not_see_friendsfamily_no_money_for_this"
"FRNDNT2","Why not see friends/family: not priority on current income","Yes , No , Not applicable ","object","Why_not_see_friendsfamily_not_priority_on_current_income"
