"Variable","Variable Label","Possible Values","Column Type","Column Name"
"sernum","sernum ","","int64","sernum_"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"NEEDPER","Person receiving help","Person 1 , Person 2 , Person 3 , Person 4 , Person 5 , Person 6 , Person 7 , Person 8 , Person 9 , Person 10 , Person 11 , Person 12 , Person 13 , Person 14 , Parent outside household , Other Parent outside household , Child outside household , Spouse outside household , Other relative , Friend/neighbour , Client of voluntary organisation , Other non-household ","object","Person_receiving_help"
"DAYNIGHT","Whether help given day or night or both","Daytime only , At night only , Both day and night ","object","Whether_help_given_day_or_night_or_both"
"FREQ","Frequency of help","Continuously , Several times a day , Once or twice a day , Several times a week , Once a week , Less frequently ","object","Frequency_of_help"
"HOUR01","Hours spent given care by person 1","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_1"
"HOUR02","Hours spent given care by person 2","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_2"
"HOUR03","Hours spent given care by person 3","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_3"
"HOUR04","Hours spent given care by person 4","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_4"
"HOUR05","Hours spent given care by person 5","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_5"
"HOUR06","Hours spent given care by person 6","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_6"
"HOUR07","Hours spent given care by person 7","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_7"
"HOUR08","Hours spent given care by person 8","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_8"
"HOUR09","Hours spent given care by person 9","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_9"
"HOUR10","Hours spent given care by person 10","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_10"
"HOUR11","Hours spent given care by person 11","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_11"
"HOUR12","Hours spent given care by person 12","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_12"
"HOUR13","Hours spent given care by person 13","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_13"
"HOUR14","Hours spent given care by person 14","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_person_14"
"HOUR15","Hours spent given care by Relative","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_Relative"
"HOUR16","Hours spent given care by Friends","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_Friends"
"HOUR17","Hours spent given care by LA Help","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_LA_Help"
"HOUR18","Hours spent given care by Domestic","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_Domestic"
"HOUR19","Hours spent given care by Nurse","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_Nurse"
"HOUR20","Hours spent given care by Helpers","0-4 hours per week , 5-9 hours per week , 10-19 hours per week , 20-34 hours per week , 35-49 hours per week , 50-99 hours per week , 100 or more hours per week , Varies - under 20 hours per week , Varies - 20-34 hours per week , Varies - 35 hours a week or more ","object","Hours_spent_given_care_by_Helpers"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"WHOLOO01","Whether care given by person 1","Yes , No ","object","Whether_care_given_by_person_1"
"WHOLOO02","Whether care given by person 2","Yes , No ","object","Whether_care_given_by_person_2"
"WHOLOO03","Whether care given by person 3","Yes , No ","object","Whether_care_given_by_person_3"
"WHOLOO04","Whether care given by person 4","Yes , No ","object","Whether_care_given_by_person_4"
"WHOLOO05","Whether care given by person 5","Yes , No ","object","Whether_care_given_by_person_5"
"WHOLOO06","Whether care given by person 6","Yes , No ","object","Whether_care_given_by_person_6"
"WHOLOO07","Whether care given by person 7","Yes , No ","object","Whether_care_given_by_person_7"
"WHOLOO08","Whether care given by person 8","Yes , No ","object","Whether_care_given_by_person_8"
"WHOLOO09","Whether care given by person 9","Yes , No ","object","Whether_care_given_by_person_9"
"WHOLOO10","Whether care given by person 10","Yes , No ","object","Whether_care_given_by_person_10"
"WHOLOO11","Whether care given by Person 11","Yes , No ","object","Whether_care_given_by_Person_11"
"WHOLOO12","Whether care given by Person 12","Yes , No ","object","Whether_care_given_by_Person_12"
"WHOLOO13","Whether care given by Person 13","Yes , No ","object","Whether_care_given_by_Person_13"
"WHOLOO14","Whether care given by Person 14","Yes , No ","object","Whether_care_given_by_Person_14"
"WHOLOO15","Whether care given by Relatives","Yes , No ","object","Whether_care_given_by_Relatives"
"WHOLOO16","Whether care given by Friends","Yes , No ","object","Whether_care_given_by_Friends"
"WHOLOO17","Whether care given by LA help","Yes , No ","object","Whether_care_given_by_LA_help"
"WHOLOO18","Whether care given by Domestic","Yes , No ","object","Whether_care_given_by_Domestic"
"WHOLOO19","Whether care given by Nurse","Yes , No ","object","Whether_care_given_by_Nurse"
"WHOLOO20","Whether care given by Helpers","Yes , No ","object","Whether_care_given_by_Helpers"
"month","Month code (Source)","","int64","Month_code_Source"
