"Variable","Variable Label","Possible Values","Column Type","Column Name"
"sernum","sernum ","","int64","sernum_"
"BENUNIT","Benefit Unit","","int64","Benefit_Unit"
"PERSON","Person","","int64","Person"
"CHLOOK","Childcare arrangements","Playgroup or pre school , Day nursery or cr?che , Nursery school , Nursery class (attached to Primary/Infants School) , Reception class (at Primary/Infants School) , Breakfast club , After school club/activities , Holiday scheme/club , Special day school/nursery unit for children with special ed , Other formal , Grand parents , Non-resident parent/ex spouse/ex partner , Child'd brother or sister , Other relatives , Childminder , Nanny/Au Pair , Friends or neighbours , Other non-relatives (includes babysitters) ","object","Childcare_arrangements"
"CHAMT","Costs of childcare","","float64","Costs_of_childcare"
"CHHR","How many hours in last seven days","","int64","How_many_hours_in_last_seven_days"
"CHPD","Pcode: Costs of childcare","1 week , 2 weeks , 3 weeks , 4 weeks , Calendar month , 2 calendar months, 8 times a year, 9 times a year, 10 times a year, 3 months / 13 weeks, School term / 3 times a year, 1 year / 12 months / 52 weeks, None of these, 6 months / 26 weeks, One-off / lump sum","object","Pcode_Costs_of_childcare"
"CHPDHRS","How many hours payment covered","","object","How_many_hours_payment_covered"
"COST","Whether childcare costs anything","Yes , No ","object","Whether_childcare_costs_anything"
"EMPLPROV","Does employer provide this form of childcare","Yes , No , Does not apply - no employer ","object","Does_employer_provide_this_form_of_childcare"
"FRECCTY1","Free hours of early years education used for Playgroup or pre school","Yes , No ","object","Free_hours_of_early_years_education_used_for_Playgroup_or_pre_"
"FRECCTY2","Free hours of early years education used for Day nursery or workplace cr?che","Yes , No ","object","Free_hours_of_early_years_education_used_for_Day_nursery_or_wo"
"FRECCTY3","Free hours of early years education used for Nursery School","Yes , No ","object","Free_hours_of_early_years_education_used_for_Nursery_School"
"FRECCTY4","Free hours of early years education used for Nursey attached primary/infant school","Yes , No ","object","Free_hours_of_early_years_education_used_for_Nursey_attached_p"
"FRECCTY5","Free hours of early years education used for Special nursery","Yes , No ","object","Free_hours_of_early_years_education_used_for_Special_nursery"
"FRECCTY6","Free hours of early years education used for Childminder","Yes , No ","object","Free_hours_of_early_years_education_used_for_Childminder"
"FRECCTY7","Free hours of early years education used for Other","Yes , No ","object","Free_hours_of_early_years_education_used_for_Other"
"FREECC","Does childcare include the free early years education offer?","Yes , No , Don't Know ","object","Does_childcare_include_the_free_early_years_education_offer"
"ISSUE","Whether Mainstage or Reissue","Mainstage , Reissue ","object","Whether_Mainstage_or_Reissue"
"REGISTRD","Whether registered","Registered , Not registered ","object","Whether_registered"
"MONTH","Month code (Source)","","int64","Month_code_Source"
