"Variable","Variable Label","Possible Values","Column Type","Column Name"
"PERSID","Persistent Identifier","No answer, Does not apply","int64","Persistent_Identifier"
"lgwt17","Longitudinal Weight 2017","No answer, Does not apply","float64","Longitudinal_Weight_2017"
"ENROLL5","Whether enrolled on education course (excluding leisure)","No answer, Yes, No, Does not apply","object","Whether_enrolled_on_education_course_excluding_leisure"
"LNGLST5","Health problems lasting or expected to last more than 1 year","Yes, No, Don't know, Refusal, Does not apply, No answer","object","Health_problems_lasting_or_expected_to_last_more_than_1_year"
"HIQUL15D5","Highest qualification (detailed grouping)","No answer, Does not apply","object","Highest_qualification_detailed_grouping"
"HIQUAL155","Highest qualification/trade apprenticeship","No answer, Does not apply","object","Highest_qualificationtrade_apprenticeship"
"HITQUA155","Highest qualification training leads to","No answer, Does not apply","object","Highest_qualification_training_leads_to"
"LEVQUL155","Level of highest qualification held","NQF Level 4 and above, NQF Level 3, Trade Apprenticeships, NQF Level 2, Below NQF Level 2, Other Qualifications, No Qualifications, Does not apply, No answer","object","Level_of_highest_qualification_held"
"ENROLL4","Whether enrolled on education course (excluding leisure)","No answer, Yes, No, Does not apply","object","Whether_enrolled_on_education_course_excluding_leisure"
"HIQUL11D4","Highest qualification (detailed grouping)","Degree or equivalent, Higher education, GCE, A-level or equivalent, GCSE grades A*-C or equivalent, Other qualifications, No qualification, Did not know, Does not apply, No answer","object","Highest_qualification_detailed_grouping"
"FLEXW74","Respondent has zero hours contract","No answer, Yes, No, Does not apply","object","Respondent_has_zero_hours_contract"
"LNGLST4","Health problems lasting or expected to last more than 1 year","Yes, No, Don't know, Refusal, Does not apply, No answer","object","Health_problems_lasting_or_expected_to_last_more_than_1_year"
"ENROLL3","Whether enrolled on education course (excluding leisure)","No answer, Yes, No, Does not apply","object","Whether_enrolled_on_education_course_excluding_leisure"
"HIQUL11D3","Highest qualification (detailed grouping)","Degree or equivalent, Higher education, GCE, A-level or equivalent, GCSE grades A*-C or equivalent, Other qualifications, No qualification, Did not know, Does not apply, No answer","object","Highest_qualification_detailed_grouping"
"LNGLST3","Health problems lasting or expected to last more than 1 year","Yes, No, Don't know, Refusal, Does not apply, No answer","object","Health_problems_lasting_or_expected_to_last_more_than_1_year"
"APPRCURR2","Current apprenticeships","No answer, Yes, No, Don't know, Does not apply","object","Current_apprenticeships"
"ENROLL2","Whether enrolled on education course (excluding leisure)","No answer, Yes, No, Does not apply","object","Whether_enrolled_on_education_course_excluding_leisure"
"HIQUL11D2","Highest qualification (detailed grouping)","Degree or equivalent, Higher education, GCE, A-level or equivalent, GCSE grades A*-C or equivalent, Other qualifications, No qualification, Did not know, Does not apply, No answer","object","Highest_qualification_detailed_grouping"
"FLEXW72","Respondent has zero hours contract","No answer, Yes, No, Does not apply","object","Respondent_has_zero_hours_contract"
"LNGLST2","Health problems lasting or expected to last more than 1 year","Yes, No, Don't know, Refusal, Does not apply, No answer","object","Health_problems_lasting_or_expected_to_last_more_than_1_year"
"APPRCURR1","Current apprenticeships","No answer, Yes, No, Don't know, Does not apply","object","Current_apprenticeships"
"ENROLL1","Whether enrolled on education course (excluding leisure)","No answer, Yes, No, Does not apply","object","Whether_enrolled_on_education_course_excluding_leisure"
"HIQUL11D1","Highest qualification (detailed grouping)","Degree or equivalent, Higher education, GCE, A-level or equivalent, GCSE grades A*-C or equivalent, Other qualifications, No qualification, Did not know, Does not apply, No answer","object","Highest_qualification_detailed_grouping"
"LNGLST1","Health problems lasting or expected to last more than 1 year","Yes, No, Don't know, Refusal, Does not apply, No answer","object","Health_problems_lasting_or_expected_to_last_more_than_1_year"
"FLOW","Categories relating to labour force gross flows","Aged 15 at both quarters, Entrant to working-age between first and final quarter, In employment at first quarter; in employment at final quarter (EE), In employment at first quarter; unemployed at final quarter (EU), In employment at first quarter; inactive at final quarter (EN), Unemployed at first quarter; in employment at final quarter (UE), Unemployed at first quarter; unemployed at final quarter (UU), Unemployed at first quarter; inactive at final quarter (UN), Inactive at first quarter; in employment at final quarter (NE), Inactive at first quarter; unemployed at final quarter (NU), Inactive at first quarter; inactive at final quarter (NN), Reached retirement age by final quarter, Does not apply, No answer","object","Categories_relating_to_labour_force_gross_flows"
"YVARY991","Reason pay varies?","Number of hours, days of work vary, Amounts of bonuses, tips, commission varies, Number of hours overtime varies, Other reason, Does not apply, No answer","object","Reason_pay_varies"
"YTETJB1","Whether had paid job in addition to scheme","No answer, Yes, No, Does not apply","object","Whether_had_paid_job_in_addition_to_scheme"
"YSTART1","Reason could not start work within 2 weeks?","Must complete education, Cannot leave present job within 2 weeks, Looking after family or home, Temporarily sick/injured, Long-term sick/injured, Other reason, Does not apply, No answer","object","Reason_could_not_start_work_within_2_weeks"
"YPTJOB1","Reason for part-time job?","Student or at school, Ill or disabled, Could not find full-time job, Did not want full-time job, Does not apply, No answer","object","Reason_for_parttime_job"
"YLESS61","Reason worked fewer hours than usual in reference week?"," Number of hours worked/overtime varies, Bank holiday, Maternity or paternity leave, Parental leave, Other leave or holiday, Sick or injured, Training course away from workplace, Started new job or changed jobs, Ended job and did not start new one, Laid off/short time/work interrupted by bad weather, Laid off/short time/work interrupted by labour dispute at own workplace, Laid off/short time/work interrupted by economic/other causes, Other personal or family reasons, Other reasons, Does not apply, No answer","object","Reason_worked_fewer_hours_than_usual_in_reference_week"
"Y2JOB1","Whether had 2 jobs because of a change of job in reference week","No answer, Yes, changed jobs, No, Does not apply","object","Whether_had_2_jobs_because_of_a_change_of_job_in_reference_wee"
"WRKING1","Whether did paid work in reference week","No answer, Yes, No, Does not apply","object","Whether_did_paid_work_in_reference_week"
